sender,volume,transfers,avg_value
TBDwc4JEC4CYraiEQsg2eYov7keD1QPdHH,54347.0,1,54347.0
TRUAyR14kzgpDKCRBo1xnWVD7pRR6Wr4Eh,54000.0,1,54000.0
TYtuiH6Y7pdj4R1N6ZhVTkFD1ojuRD3sVm,54000.0,1,54000.0
TQbKWq8mnMXe5gSA2Mmi8ohtPfR4LARkYm,53648.0,1,53648.0
TVNGDzkZbTiPEwuvtYaDvQSkGyD9K16BGK,53566.0,2,26783.0
TXUyfRxZYXjykBncFZhrNyJNQptFmQKeJY,53291.47999800002,50,1065.8295999600005
TG3yJsrhhhrYuS8bMN7eB83DuFS9Z4MkGQ,53102.5,31,1712.983870967742
TGaGeiwVpudyyQuL9F3kdRmQMz7XKGiqXY,52843.65055499999,9,5871.516728333332
TWFzoPkGN2y73LMH1FSTzZ2yNhYkta4swi,52555.51,2,26277.755
TB1Qb5sDUFRizvh5tPV8fjTzKHPUq9iEdx,52403.91,1,52403.91
TNDn2fP7hhLj7MknEbtXBqnaFpcS9HiMsX,52390.0,1,52390.0
TJLfcfwiKzcCovPqiQQ4AnajuxBRyT94c7,51872.0,2,25936.0
TM6jXYXuQc64DNDadUoNmxRuzT9ZzNqToZ,51854.659922,1,51854.659922
TKMxqtpeQEYtKufsH31YTrwVoGsg2QnCvh,51821.97,23,2253.129130434783
TWUcGLRBs4Mwew8gV9va8HZpKxRD9bHZLD,51770.634216,5,10354.1268432
TXhHdrnriVqHFw6EKtiesS6VXGsk6SgggL,51674.95691,1,51674.95691
TSQcLPHff3jd6zZX1VboTBgXNkEE7cCqnU,51399.0,1,51399.0
TQ8Ya53QL5UL71Nt7i1SV4wPbx4ZGkxGTD,51000.0,1,51000.0
TADMkq2a43hAjpA97io75gBZ9PAtih2bxr,50755.0,2,25377.5
TQs7YzFcgNstPRbYcgSnt1aBuJ6srYDXTj,50750.0,1,50750.0
TBdJxDGiUeXUQthMwjEMAnQfZsuFjrQbha,50100.0,3,16700.0
TFyao7JSbFtG2rYgocm4H36MbXk9rfeYwN,50008.0,1,50008.0
TYZQG4wEkn2kiR3M1tvfkyv3PkA6jSpUvf,50000.0,2,25000.0
TRW3RfV1HL9fSFyvszX29bZS2PAh9QJdKE,50000.0,1,50000.0
TJEowYLj3n3FDhfvjFnjVEvbCCempMxrwU,50000.0,1,50000.0
TDXKT72acBwCRc4mdxXiNgYAUShDKfgkwr,50000.0,1,50000.0
TMgfqSWNZApfWvCwbJjrY9AeSAG1qKZQSL,50000.0,1,50000.0
TSGTr71wuNVaxnHXQK9aWgFBY2ZqeyZ8oS,50000.0,3,16666.666666666668
TCY3Pt4YFh8MLPK6yUKzsDsGi7Tq3CMqo3,50000.0,1,50000.0
TNkqfwZwYoJP7iWNeuUTtyGyYfM6MBiypM,50000.0,1,50000.0
TNp8eUhxE1Rr5WzD39mTHj4daAJMGAt3Qq,50000.0,1,50000.0
TAe4TFqkus5h426STHXdky3sjtBzPGES5b,50000.0,1,50000.0
TA2cnbwZ4gzocqUjV2ZeCNrE2Wg9UtWumZ,50000.0,1,50000.0
TX25EmoFUXxNXzDidaC9JieXZgAjMoUoPG,50000.0,1,50000.0
TMh6zS2uEJP1MLuCjdexQPcSTNskAkcqv4,50000.0,1,50000.0
TDk6yQ9s2d6sqcVW63EG1nxjxECDrGHZ6v,50000.0,1,50000.0
TCs2eETDZiVHyy79EQp2iYBnrhrptY5nqc,50000.0,1,50000.0
TNCF6W2uY5jhxBkFgAkAdtwZTaYtAeecDv,50000.0,1,50000.0
TZEm9y88nvECpjyj91v9c9M8Vyk3716577,50000.0,1,50000.0
TUwJ5fk4Joua7WHRbAb2ia4R2bTF69gwde,50000.0,1,50000.0
TXGpNAH1LL2Hv1eUXDz4f4BVdRBU7kVjoV,50000.0,1,50000.0
TMndu8isVCkhp7sVXJcWPmkqVh5LQnKxeo,50000.0,1,50000.0
THqYPUUtVejPkmAiNaVZ4puj6m5wFk8qRp,50000.0,1,50000.0
T9ztUBaHDhjp5yATK6U5qRchcMHVSqwJGa,50000.0,1,50000.0
TRQb9JgbNdT6zEYqgkuprJZP78Sh3GKFRy,49999.0,1,49999.0
TQiBya6rEEpbCPbbgUC3iTd5vHLifvkoJo,49900.0,1,49900.0
TCPjGSk6BthQVbEgDRFFPd6eT8EujzX7Zp,49830.498241,5,9966.099648200001
TFyaxqLxwqwuvkf56w2b2rysP3vthe8jzA,49500.0,1,49500.0
TBrQ3y69z4mC4bdsNLhJmWbG4gdCNVjcTD,49135.89,1,49135.89
TCs5WvhF1UHRSuWXtZJnUpXQp2tvprbQ43,49000.0,1,49000.0
TJNqe6BeyVh9FvmxsRy6AVycBxXAgST1fh,48833.659999999996,25,1953.3464
TVSufNSZ7DLynVZELiw4LKkvjHvtFTvbGz,48694.0,1,48694.0
TTjxLPAGodLXnRBUsP1QQ6r2gaWVrNHr53,48041.100000000006,3,16013.700000000003
TWrtJ5ZJXVvDeqoVAVPGHjaL6gct61znUW,48000.0,1,48000.0
